Project,Total,C1,C1Percent,C2,C2Percent,C3,C3Percent,C3Plus,C3PlusPercent
activemq,216,205,94.9,9,4.2,1,0.5,1,0.5
ambari,307,299,97.4,6,2,2,0.7,0,0
arrow,290,268,92.4,19,6.6,2,0.7,1,0.3
axis2,425,360,84.7,56,13.2,6,1.4,3,0.7
camel,807,767,95,27,3.3,11,1.4,2,0.2
cloudstack,870,745,85.6,99,11.4,22,2.5,4,0.5
cordova,813,730,89.8,69,8.5,9,1.1,5,0.6
drill,579,515,88.9,63,10.9,1,0.2,0,0
flink,2049,1630,79.6,299,14.6,96,4.7,24,1.2
geode,150,142,94.7,8,5.3,0,0,0,0
groovy,352,325,92.3,25,7.1,2,0.6,0,0
guacamole,209,197,94.3,8,3.8,3,1.4,1,0.5
hadoop,2244,2015,89.8,202,9,21,0.9,6,0.3
hbase,1142,1028,90,101,8.8,10,0.9,3,0.3
hive,509,472,92.7,34,6.7,3,0.6,0,0
hudi,184,130,70.7,39,21.2,13,7.1,2,1.1
ignite,582,505,86.8,65,11.2,9,1.5,3,0.5
impala,1431,1168,81.6,196,13.7,45,3.1,22,1.5
jackrabbit-oak,168,156,92.9,11,6.5,1,0.6,0,0
kafka,617,545,88.3,60,9.7,12,1.9,0,0
lucene,201,191,95,8,4,2,1,0,0
mesos,427,364,85.2,46,10.8,15,3.5,2,0.5
netbeans,314,259,82.5,48,15.3,6,1.9,1,0.3
nifi,221,205,92.8,15,6.8,0,0,1,0.5
ofbiz,215,196,91.2,15,7,4,1.9,0,0
ozone,194,180,92.8,13,6.7,1,0.5,0,0
qpid,214,199,93,14,6.5,1,0.5,0,0
solr,377,347,92,25,6.6,4,1.1,1,0.3
spark,1773,1556,87.8,185,10.4,26,1.5,6,0.3
thrift,183,167,91.3,14,7.7,1,0.5,1,0.5
trafficserver,165,152,92.1,12,7.3,1,0.6,0,0
wicket,212,198,93.4,12,5.7,2,0.9,0,0
All projects,18440,16216,87.9,1803,9.8,332,1.8,89,0.5
