Project,Creator,CreatorP,Assignee,AssigneeP,Commenter,CommenterP,FieldModifier,FieldModifierP,Others,OthersP,Total
ActiveMQ,107,46.3 ,39,16.9 ,178,77.1 ,180,77.9 ,7,3.0 ,231
Ambari,164,51.7 ,146,46.1 ,218,68.8 ,270,85.2 ,32,10.1 ,317
Arrow,106,33.5 ,94,29.7 ,226,71.5 ,270,85.4 ,20,6.3 ,316
Axis2,107,21.3 ,87,17.3 ,348,69.2 ,330,65.6 ,78,15.5 ,503
Camel,113,13.0 ,461,53.2 ,738,85.1 ,798,92.0 ,27,3.1 ,867
CloudStack,379,36.9 ,195,19.0 ,675,65.7 ,784,76.3 ,115,11.2 ,1027
Cordova,187,20.4 ,277,30.2 ,629,68.7 ,760,83.0 ,62,6.8 ,916
Drill,211,32.8 ,101,15.7 ,355,55.1 ,559,86.8 ,34,5.3 ,644
Flink,501,19.1 ,387,14.7 ,2042,77.7 ,2096,79.7 ,288,11.0 ,2629
Geode,104,65.8 ,47,29.7 ,72,45.6 ,144,91.1 ,1,0.6 ,158
Groovy,60,15.7 ,144,37.8 ,275,72.2 ,326,85.6 ,13,3.4 ,381
Guacamole,14,6.2 ,27,11.9 ,162,71.7 ,145,64.2 ,32,14.2 ,226
Hadoop,798,31.8 ,710,28.3 ,2059,82.1 ,2150,85.8 ,152,6.1 ,2507
Hbase,480,37.7 ,390,30.7 ,1168,91.8 ,1129,88.8 ,31,2.4 ,1272
Hive,295,53.7 ,218,39.7 ,452,82.3 ,462,84.2 ,26,4.7 ,549
Hudi,76,29.5 ,68,26.4 ,75,29.1 ,247,95.7 ,7,2.7 ,258
Ignite,310,46.0 ,201,29.8 ,367,54.5 ,579,85.9 ,57,8.5 ,674
Impala,144,8.0 ,350,19.5 ,1074,59.9 ,1409,78.6 ,270,15.1 ,1792
Jackrabbit-Oak,87,48.1 ,78,43.1 ,148,81.8 ,169,93.4 ,4,2.2 ,181
Kafka,231,33.0 ,153,21.8 ,478,68.2 ,594,84.7 ,42,6.0 ,701
Lucene,59,27.7 ,81,38.0 ,162,76.1 ,163,76.5 ,35,16.4 ,213
Mesos,135,26.5 ,115,22.5 ,353,69.2 ,421,82.5 ,44,8.6 ,510
Netbeans,180,47.7 ,48,12.7 ,283,75.1 ,232,61.5 ,23,6.1 ,377
NiFi,112,46.9 ,65,27.2 ,152,63.6 ,202,84.5 ,12,5.0 ,239
OFBiz,68,28.6 ,85,35.7 ,190,79.8 ,183,76.9 ,19,8.0 ,238
Ozone,38,18.2 ,37,17.7 ,77,36.8 ,147,70.3 ,49,23.4 ,209
Qpid,107,46.5 ,64,27.8 ,191,83.0 ,214,93.0 ,3,1.3 ,230
Solr,177,42.9 ,181,43.8 ,357,86.4 ,355,86.0 ,14,3.4 ,413
Spark,517,25.5 ,319,15.7 ,1402,69.1 ,1597,78.7 ,162,8.0 ,2028
Thrift,72,35.6 ,70,34.7 ,153,75.7 ,164,81.2 ,10,5.0 ,202
Traffic Server,79,44.1 ,56,31.3 ,131,73.2 ,169,94.4 ,1,0.6 ,179
Wicket,47,20.6 ,96,42.1 ,199,87.3 ,187,82.0 ,6,2.6 ,228
All,5267,28.2 ,4680,25.0 ,13330,71.3 ,15285,81.7 ,1524,8.1 ,18708
